$id,message,startDate,status,newDuration,artisan,client,serviceRequest
2f53b889-de76-4c41-9f5e-99b211ccf6a5,"Hi, I have experience with plumber work and can help with this task.",2025-07-08T20:49:48.987359,accepted,7,,,99c3bf87-fa1b-4be3-8760-4939e78a4da8
3ae6b7a0-771b-4f07-9615-9426c1a31dcd,"Hi, I have experience with plumber work and can help with this task.",2025-07-10T20:49:48.987938,refused,8,,,99c3bf87-fa1b-4be3-8760-4939e78a4da8
68cd19bf-5021-4dbf-880c-fba80fcc29a1,"Hi, I have experience with gardener work and can help with this task.",2025-07-10T20:49:48.988841,accepted,5,,,60795831-70de-425f-9825-e3fa562d3b8b
21d3f8eb-e34d-442f-9148-afa1c0250c30,"Hi, I have experience with gardener work and can help with this task.",2025-07-07T20:49:48.988910,refused,4,,,60795831-70de-425f-9825-e3fa562d3b8b
b99e341b-6b70-47f7-bde2-9a201ef96d65,"Hi, I have experience with gardener work and can help with this task.",2025-07-06T20:49:48.989095,accepted,4,,,0e39fbff-fb3f-4108-aef2-5f43ae3e108d
19eb9324-4b4b-4a9b-a365-c68b62e41c17,"Hi, I have experience with gardener work and can help with this task.",2025-07-11T20:49:48.989169,refused,4,,,0e39fbff-fb3f-4108-aef2-5f43ae3e108d
93e04c0e-efb3-4be2-a707-03af08ca8864,"Hi, I have experience with electrician work and can help with this task.",2025-07-07T20:49:48.989311,accepted,4,,,f7db8ea0-1e8c-4bb7-8055-44fa5d56c8ca
49c8a9f8-888a-4015-be14-dbe886ddc1d0,"Hi, I have experience with electrician work and can help with this task.",2025-07-09T20:49:48.989359,refused,3,,,f7db8ea0-1e8c-4bb7-8055-44fa5d56c8ca
b180abba-1e80-48c1-8eb4-51f16c5972ea,"Hi, I have experience with plumber work and can help with this task.",2025-07-13T20:49:48.989491,accepted,7,,,3954681c-cb30-46dc-a32c-039efd44f64e
2535da3f-fe40-4e33-9d14-438e8901b28b,"Hi, I have experience with plumber work and can help with this task.",2025-07-10T20:49:48.989548,refused,6,,,3954681c-cb30-46dc-a32c-039efd44f64e
58c02448-bdfa-40d7-b98b-ff7eff0dcf31,"Hi, I have experience with plumber work and can help with this task.",2025-07-08T20:49:48.989632,accepted,5,,,a36f22e9-1377-4f52-b1df-13aff10fe3da
f7aaf09e-e419-4823-856e-c62740afe5b4,"Hi, I have experience with plumber work and can help with this task.",2025-07-07T20:49:48.989696,refused,6,,,a36f22e9-1377-4f52-b1df-13aff10fe3da
07220cb6-db2c-4c82-b057-b989ad01b339,"Hi, I have experience with electrician work and can help with this task.",2025-07-10T20:49:48.989777,accepted,5,,,4076d45f-d460-4378-b525-231780e604c5
30434d14-52ba-483c-a1e4-b6d29f1c07a5,"Hi, I have experience with electrician work and can help with this task.",2025-07-07T20:49:48.989826,refused,8,,,4076d45f-d460-4378-b525-231780e604c5
907c0ec8-6ce9-477e-98b2-b5597974e402,"Hi, I have experience with gardener work and can help with this task.",2025-07-05T20:49:48.989976,accepted,4,,,4b122c33-3c26-4d03-986b-d1a2ccaa2258
34ac5ce9-b446-4864-b702-35ba884fb6f1,"Hi, I have experience with gardener work and can help with this task.",2025-07-08T20:49:48.990036,refused,3,,,4b122c33-3c26-4d03-986b-d1a2ccaa2258
bdfac16a-6ea3-4cbc-9e52-16ccbf573cd6,"Hi, I have experience with gardener work and can help with this task.",2025-07-06T20:49:48.990172,accepted,7,,,398ead5f-3064-4fa7-85dd-427d506eda90
9b9d792f-ca1e-454e-bf22-180b8c1fb4d4,"Hi, I have experience with gardener work and can help with this task.",2025-07-09T20:49:48.990212,refused,7,,,398ead5f-3064-4fa7-85dd-427d506eda90
a357de2f-0e7b-45ce-b4fe-d6c6e17e7f64,"Hi, I have experience with joiner work and can help with this task.",2025-07-09T20:49:48.990288,accepted,1,,,afec1f7a-b40f-4c29-9afe-0cf9db322879
71493b2c-fc77-4896-802b-05adcaca5b11,"Hi, I have experience with joiner work and can help with this task.",2025-07-11T20:49:48.990332,refused,1,,,afec1f7a-b40f-4c29-9afe-0cf9db322879
f1c0cec4-b623-4d13-9955-ac93f81e31ad,"Hi, I have experience with cleaner work and can help with this task.",2025-07-13T20:49:48.990399,accepted,8,,,7452f773-3ae3-4f24-9deb-a2fb1b9609e5
6991f271-46db-4f4a-a759-308a35e5978a,"Hi, I have experience with cleaner work and can help with this task.",2025-07-10T20:49:48.990436,refused,7,,,7452f773-3ae3-4f24-9deb-a2fb1b9609e5
4e8bd2c8-927b-40b1-a607-0dee3ec8c942,"Hi, I have experience with plumber work and can help with this task.",2025-07-07T20:49:48.990531,accepted,4,,,6f8c88ca-bba5-4b31-a8e3-549a959f81a8
bc8755e6-7173-4b7b-bbc7-720ace083208,"Hi, I have experience with plumber work and can help with this task.",2025-07-07T20:49:48.990569,refused,2,,,6f8c88ca-bba5-4b31-a8e3-549a959f81a8
9a1e452f-e7ec-4787-9a88-305f329be12b,"Hi, I have experience with gardener work and can help with this task.",2025-07-04T20:49:48.990643,accepted,4,,,c790ba10-bd50-418d-928c-46785bc018b6
91617c06-343e-4786-9aef-deef9758b9f2,"Hi, I have experience with gardener work and can help with this task.",2025-07-04T20:49:48.990676,refused,3,,,c790ba10-bd50-418d-928c-46785bc018b6
ac46c510-1db9-4513-941b-14fdc6fd2113,"Hi, I have experience with gardener work and can help with this task.",2025-07-10T20:49:48.990775,accepted,3,,,55e01c12-3de7-4129-8cc6-2f5b84632595
d33422a0-d89d-4458-b691-57a810b184c5,"Hi, I have experience with gardener work and can help with this task.",2025-07-10T20:49:48.990811,refused,1,,,55e01c12-3de7-4129-8cc6-2f5b84632595
c0b491ce-44e9-4fe6-9fdd-5a22888524c5,"Hi, I have experience with electrician work and can help with this task.",2025-07-13T20:49:48.990956,accepted,8,,,6abf7b9d-8cb4-49d9-ac1f-fa8ae4b5eb98
d14c4523-c418-4f1d-9964-79456eb06606,"Hi, I have experience with electrician work and can help with this task.",2025-07-13T20:49:48.991006,refused,7,,,6abf7b9d-8cb4-49d9-ac1f-fa8ae4b5eb98
46ab0212-9c55-495b-b597-c4c3e92a76b2,"Hi, I have experience with gardener work and can help with this task.",2025-07-11T20:49:48.991083,accepted,5,,,dd057911-9b98-427e-b277-a3feca1c7f04
864ab85d-0fdd-4468-addc-dac72aac2e35,"Hi, I have experience with gardener work and can help with this task.",2025-07-04T20:49:48.991130,refused,2,,,dd057911-9b98-427e-b277-a3feca1c7f04
ca703886-cab8-4f50-855f-3a72a7848d2f,"Hi, I have experience with plumber work and can help with this task.",2025-07-12T20:49:48.991255,accepted,6,,,5b41d2b2-3bdb-4676-8dbf-062832596d26
77673338-5c00-4de7-9cdd-53b052f7b171,"Hi, I have experience with plumber work and can help with this task.",2025-07-08T20:49:48.991308,refused,6,,,5b41d2b2-3bdb-4676-8dbf-062832596d26
a5e5bd67-2013-427f-b0e2-0f610858d4a4,"Hi, I have experience with electrician work and can help with this task.",2025-07-03T20:49:48.991403,accepted,5,,,debef382-7a00-4e9b-877c-f379a8176a81
c34ad728-3487-4d70-b51b-6e4c18bcfdd5,"Hi, I have experience with electrician work and can help with this task.",2025-07-06T20:49:48.991449,refused,7,,,debef382-7a00-4e9b-877c-f379a8176a81
48244a72-609b-4900-aa87-7cc61858aafc,"Hi, I have experience with joiner work and can help with this task.",2025-07-07T20:49:48.991530,accepted,4,,,a4e6eb6b-3e0a-47cf-8318-2d0c02963577
6fbf86bc-7e79-4a05-8854-91a3d4cf7825,"Hi, I have experience with joiner work and can help with this task.",2025-07-09T20:49:48.991577,refused,4,,,a4e6eb6b-3e0a-47cf-8318-2d0c02963577
2ed3475f-bd31-486d-a5ad-72d616c6bcef,"Hi, I have experience with electrician work and can help with this task.",2025-07-04T20:49:48.991682,accepted,7,,,fa9340ba-77f9-42cd-b44c-37a251240c48
