$id,newPrice,serviceApplication,serviceTask
01841a63-bf35-4086-b629-5a1b9a2be3ad,214.18,2f53b889-de76-4c41-9f5e-99b211ccf6a5,ebee4a22-9e67-44f0-849e-4bc95cbc1e59
08122fa1-64b2-4714-bb8f-52745125ae51,42.04,2f53b889-de76-4c41-9f5e-99b211ccf6a5,b3eb7774-b48c-4311-b991-46d3c7900e4c
61ca67fb-8668-4e2d-abad-7910737dc96c,222.22,3ae6b7a0-771b-4f07-9615-9426c1a31dcd,ebee4a22-9e67-44f0-849e-4bc95cbc1e59
6b70fc90-1ce1-4f96-a649-078693a480ec,180.61,68cd19bf-5021-4dbf-880c-fba80fcc29a1,3c5ac726-5e57-4b29-83eb-b81ac7c2f78e
1eebdb4c-7ebf-46aa-8edd-5b16ebc201ae,57.45,68cd19bf-5021-4dbf-880c-fba80fcc29a1,0144054e-ba4c-4e6e-a26d-28a2c903be4a
ae6564f3-b3e7-4f71-ac9b-2788dcf289f0,235.38,21d3f8eb-e34d-442f-9148-afa1c0250c30,3c5ac726-5e57-4b29-83eb-b81ac7c2f78e
33cf775b-e960-44ea-a794-ff41307d706a,285.79,21d3f8eb-e34d-442f-9148-afa1c0250c30,8bacc7c5-a3be-4012-95dc-bd91dae40b70
c8547b68-3fab-4396-923a-3944731f6bc8,108.06,b99e341b-6b70-47f7-bde2-9a201ef96d65,92ff58af-b3e2-4afc-91d0-824d42397789
531a627f-fa0d-4dfc-88a0-f76d3bc3597d,109.23,b99e341b-6b70-47f7-bde2-9a201ef96d65,8f6da7ff-41c2-46d0-8cfd-e749c2608b90
35bd3b56-9725-4f96-b10e-199c13b122d0,89.02,19eb9324-4b4b-4a9b-a365-c68b62e41c17,92ff58af-b3e2-4afc-91d0-824d42397789
0dd2794a-477b-4f01-8eaa-6117185c95b7,247.05,93e04c0e-efb3-4be2-a707-03af08ca8864,0f155e93-033d-4ee6-bf3c-eae42ede7099
d69f0aa3-3b07-4a4b-8d05-7c348f09f4e6,252.7,49c8a9f8-888a-4015-be14-dbe886ddc1d0,0f155e93-033d-4ee6-bf3c-eae42ede7099
a872dd0b-7cff-42a7-a05d-d776bf96559f,225.48,b180abba-1e80-48c1-8eb4-51f16c5972ea,c3ce2983-0969-476c-ab97-93f7cd660ac6
6b273912-919c-42c6-8da7-4b564e7c36e3,197.63,b180abba-1e80-48c1-8eb4-51f16c5972ea,ff29da75-3a95-4ff0-b866-262d56d7b067
a1a9ac38-f171-470a-a494-d03bdf641d69,116.78,2535da3f-fe40-4e33-9d14-438e8901b28b,426deb77-4aa9-4503-84d0-58fce6805588
11bc36ab-2937-4c09-bf2d-b8f862512dd2,129.33,58c02448-bdfa-40d7-b98b-ff7eff0dcf31,870e99eb-c090-4e74-9a3b-52a0213b23ea
46ae9f9b-023e-4ea7-8dca-78eb538b3c8c,154.51,58c02448-bdfa-40d7-b98b-ff7eff0dcf31,b7dfd056-c0dd-40be-b348-4b77aec4e968
1dc8c834-2319-4c96-a99f-8843fe863e9b,95.76,f7aaf09e-e419-4823-856e-c62740afe5b4,870e99eb-c090-4e74-9a3b-52a0213b23ea
e0ddbfd0-b828-4880-bd35-d45229fb0418,131.98,07220cb6-db2c-4c82-b057-b989ad01b339,0738a229-ce01-4d24-9b7a-9fd321c0609d
5436565a-b8a9-42cc-a2b0-bc6e1ed8566b,160.63,30434d14-52ba-483c-a1e4-b6d29f1c07a5,0738a229-ce01-4d24-9b7a-9fd321c0609d
7c29e0e9-b962-4428-9bd0-d83173f7b4f1,72.62,30434d14-52ba-483c-a1e4-b6d29f1c07a5,6e12834a-9b65-47bf-a369-deb6fce15af8
df492a60-7e3e-4330-b2f4-a054e1f7f3b7,181.32,907c0ec8-6ce9-477e-98b2-b5597974e402,b0cf7440-4ff1-4959-8f88-66bfd19d8a37
73d5d799-bd99-4640-98b4-6ebea348c52e,276.53,34ac5ce9-b446-4864-b702-35ba884fb6f1,c875e006-c3ca-4f2c-b5af-29b631969871
f2410f51-f463-4e1f-a921-b2886a62bf43,148.31,bdfac16a-6ea3-4cbc-9e52-16ccbf573cd6,910390b4-edcc-428a-98bf-2fb01b22268b
2fd83117-2a67-4dc4-b823-e281d24c3f08,164.31,bdfac16a-6ea3-4cbc-9e52-16ccbf573cd6,05065984-760c-42d8-83bd-3d7e9ab5cdc7
d7650465-a0cb-46d8-a89c-fcfa2bca4312,179.62,9b9d792f-ca1e-454e-bf22-180b8c1fb4d4,910390b4-edcc-428a-98bf-2fb01b22268b
eabda0ff-2110-4b60-b581-08744f727558,164.82,a357de2f-0e7b-45ce-b4fe-d6c6e17e7f64,25d805ca-5551-4bbd-8076-258aa80c5759
2cf41723-6b57-4836-abf9-8387f5a625a6,161.16,71493b2c-fc77-4896-802b-05adcaca5b11,25d805ca-5551-4bbd-8076-258aa80c5759
8214d679-c620-4ec8-a412-3faa14df8c01,166.55,71493b2c-fc77-4896-802b-05adcaca5b11,461e2ef8-b92a-4ec8-94c2-31e131cba1fc
28cd4542-ca47-449a-8114-3c1f447de0fc,55.37,f1c0cec4-b623-4d13-9955-ac93f81e31ad,75ece69d-ee72-442f-b099-2dea4fbd5262
420e6695-ad53-478c-8b7c-72a223d44d26,154.4,f1c0cec4-b623-4d13-9955-ac93f81e31ad,07d3ff1f-ef3b-42ba-a9be-a205beb379fb
4793725d-13cb-43b1-90ae-a6b02cad9331,42.04,6991f271-46db-4f4a-a759-308a35e5978a,75ece69d-ee72-442f-b099-2dea4fbd5262
12c965bf-def4-43a7-9509-ddf200aba3ba,237.19,4e8bd2c8-927b-40b1-a607-0dee3ec8c942,834d218d-3659-494b-b633-68b6a2264eca
1b22f039-964b-4cbc-bd2c-6d5c66c50904,189.95,4e8bd2c8-927b-40b1-a607-0dee3ec8c942,236d84c0-d05f-4a46-a1da-f60fbef89594
3eaf9709-a581-4d21-8415-6670045c8bf0,50.83,4e8bd2c8-927b-40b1-a607-0dee3ec8c942,02764be2-1ef2-4766-b637-d25eb5bdb61f
4afdf6d9-1014-4f4e-932b-c36ac69c5dfc,206.67,bc8755e6-7173-4b7b-bbc7-720ace083208,834d218d-3659-494b-b633-68b6a2264eca
c88c8376-0537-4120-b083-e1699d8a5f3a,49.13,bc8755e6-7173-4b7b-bbc7-720ace083208,02764be2-1ef2-4766-b637-d25eb5bdb61f
b8c212e1-426c-424f-91e9-d98297a68088,202.95,bc8755e6-7173-4b7b-bbc7-720ace083208,236d84c0-d05f-4a46-a1da-f60fbef89594
7da91400-bfc3-401c-9034-7e411ee3ebab,72.82,9a1e452f-e7ec-4787-9a88-305f329be12b,4c96027b-4ee5-40e2-a72c-d631b2734868
fcd29146-9de5-44be-9225-93a0976944f6,255.14,9a1e452f-e7ec-4787-9a88-305f329be12b,912a23c3-d03f-4c4b-80c0-c132b8ad3b7f
38b9d809-cd86-4782-9ba8-adb231a7abe7,260.65,91617c06-343e-4786-9aef-deef9758b9f2,912a23c3-d03f-4c4b-80c0-c132b8ad3b7f
3b83605e-2a8a-4511-8b54-996c44bfa13a,98.01,91617c06-343e-4786-9aef-deef9758b9f2,4c96027b-4ee5-40e2-a72c-d631b2734868
ae83f664-db6a-4711-b415-5fab141c1b03,173.73,ac46c510-1db9-4513-941b-14fdc6fd2113,6d2cce67-c365-4edd-9fc6-f56cafb98fdb
fdf2450c-c8a1-4a3b-a224-9d1a6d54070d,175.62,ac46c510-1db9-4513-941b-14fdc6fd2113,7ba9ef88-cebd-4064-a5f8-08f7ec6c0816
7923bc71-34d9-414c-88c6-bebc803e6d04,210.78,ac46c510-1db9-4513-941b-14fdc6fd2113,8e9004e0-6eb0-4aea-87c7-eb20d65fcce6
4a01c6b9-8ff3-4c50-8a01-37aa53f719b0,225.95,d33422a0-d89d-4458-b691-57a810b184c5,8e9004e0-6eb0-4aea-87c7-eb20d65fcce6
ff6a030f-2177-414c-a514-94381cfcf682,197.62,d33422a0-d89d-4458-b691-57a810b184c5,7ba9ef88-cebd-4064-a5f8-08f7ec6c0816
349fdba6-e97c-4019-ad55-2fccbf1e3dff,155.69,d33422a0-d89d-4458-b691-57a810b184c5,6d2cce67-c365-4edd-9fc6-f56cafb98fdb
d4eeccf2-26a7-46c6-87a4-954b33623524,154.47,c0b491ce-44e9-4fe6-9fdd-5a22888524c5,d26852cf-6263-4620-80b3-4ba90471409f
ee0d36ab-bf40-45dc-94df-02ca523d2e95,179.95,d14c4523-c418-4f1d-9964-79456eb06606,4e26eff1-a4bf-4fc7-b26d-20fb83cc472c
d5db29ca-9fda-4d1f-bf0c-9b20549750a4,67.68,46ab0212-9c55-495b-b597-c4c3e92a76b2,e398ac54-8c2f-4def-aecf-23e5c1ecd13e
c7290d97-07a6-4c7f-970b-6070d1ab6324,104.77,46ab0212-9c55-495b-b597-c4c3e92a76b2,aa1cf10a-3692-467b-927f-4d08a73eff2e
98c60d92-7a02-4d14-87c5-3270d2b43c68,125.02,46ab0212-9c55-495b-b597-c4c3e92a76b2,6e0fd577-6ee5-49e7-9812-436f6312c411
d90540b6-4774-4e40-84c0-e880130f5a2a,69.03,864ab85d-0fdd-4468-addc-dac72aac2e35,e398ac54-8c2f-4def-aecf-23e5c1ecd13e
f1ee6c08-6c73-439c-b53c-5a704a39302c,83.33,864ab85d-0fdd-4468-addc-dac72aac2e35,aa1cf10a-3692-467b-927f-4d08a73eff2e
e7f90675-a8ce-4ee7-a1fd-000439721f63,130.37,864ab85d-0fdd-4468-addc-dac72aac2e35,6e0fd577-6ee5-49e7-9812-436f6312c411
04c5a50e-07d4-40a2-8f34-c31ffa31655d,174.22,ca703886-cab8-4f50-855f-3a72a7848d2f,14f915ef-e0bc-45ee-8621-53e56671c5cb
35fc0cdb-8d73-4c00-a4ba-13dc0ff935f5,140.73,ca703886-cab8-4f50-855f-3a72a7848d2f,960fd534-d4e6-452c-89d9-c8eee88f1347
c82f8585-bfff-411f-98b7-1d4b55ed85f4,157.1,77673338-5c00-4de7-9cdd-53b052f7b171,14f915ef-e0bc-45ee-8621-53e56671c5cb
0b7b0a40-e618-4f98-bbd2-2c8043d9a585,124.6,77673338-5c00-4de7-9cdd-53b052f7b171,960fd534-d4e6-452c-89d9-c8eee88f1347
aa320f27-f0ba-45b0-abf5-37e97cbccab1,279.46,a5e5bd67-2013-427f-b0e2-0f610858d4a4,1c33a8cf-adb2-4001-9440-c8234eab9bc6
3e5c3ffa-e7ec-4fe8-a867-b8dd17f8e935,193.05,c34ad728-3487-4d70-b51b-6e4c18bcfdd5,3a5f5d03-e8c4-4efe-8405-6c3ef0c7e3fc
